DATE,TEMP,RH,WIND,RAIN,FFMC,DMC,DC,ISI,BUI,FWI
2001-09-25,21.3,24,5,0.0,91.89693703978273,61.030884864,487.538,7.2274652491344975,92.96725020616275,24.336495593501557
2001-09-26,15.8,39,35,0.0,90.53996867411716,62.866257988,492.086,27.019386677329507,95.29619421976949,58.25152975697152
2001-09-27,12.4,20,14,0.0,91.77413226160176,64.78904678800001,496.022,11.178693317390636,97.68101968330406,33.559620796032014
2001-09-28,12.4,41,12,0.0,90.14698551800404,66.207103528,499.95799999999997,8.015488495956216,99.48002050245988,27.038155332460825
2001-09-29,13.5,29,18,0.0,90.25355008948758,68.05262470400001,504.092,11.01180995576702,101.76085689660333,33.86316575971959
2001-09-30,14.3,33,9,0.0,90.30299127577271,69.88960015200001,508.37,7.04650898927698,104.0260228006901,25.266613637125573
2001-10-01,9.5,39,3,3.0,66.88545785681399,55.44315520392656,502.31474588052254,0.6578082980448339,86.9056979561743,2.7677392567719155
2001-10-02,3.5,90,14,0.5,69.35618053378477,55.51285440392656,503.64874588052254,1.240961786765609,87.04120642057856,5.615658660072839
2001-10-03,5.7,37,4,0.0,78.70730546650636,56.16196608392656,505.37874588052256,1.2260661995855096,87.90270084491569,5.589350394178204
2001-10-04,1.8,45,19,2.0,69.4746208866012,50.79063984737213,506.4067458805226,1.6025406095236223,81.21692125022837,6.8173717611158455
2001-10-05,8.8,22,16,0.0,84.11123848198339,51.96067728737213,508.6947458805226,4.182842643542268,82.78193209399919,15.342768643845584
2001-10-06,15.4,16,20,0.25,91.83365531563645,54.060744487372126,512.1707458805226,15.253059548956204,85.5472418954809,38.632417346056975
2001-10-07,9.9,39,9,0.0,90.31144098831192,55.077443687372124,514.6567458805226,7.055032019267251,86.90415424166041,23.1094432561258
2001-10-08,8.5,33,19,0.0,90.17601715679031,56.05202032737213,516.8907458805227,11.453115088817349,88.19437905373009,32.466742322872676
2001-10-09,8.8,27,19,0.0,90.22543274555093,57.147055367372126,519.1787458805227,11.534408415757168,89.62978196101592,32.87982499777844
2001-10-10,7.4,37,32,0.0,89.51038154581812,57.958444967372124,521.2147458805226,20.04401218338839,90.70200789833484,47.309290965229906
2001-10-11,5.3,27,31,0.0,89.5595773747519,58.666346407372124,522.8727458805226,19.194006027737924,91.63036482630842,46.2474599101303
2001-10-12,5.7,35,28,0.0,89.3625440703108,59.336064807372125,524.6027458805227,16.041151772265554,92.51264011349423,41.42602222255213
2001-10-13,6.0,25,25,0.0,89.78020081382472,60.14290880737212,526.3867458805227,14.64204588072009,93.56101928522307,39.26071124670748
2001-10-14,0.7,37,27,0.0,88.82524920412871,60.314732487372126,527.2167458805227,14.120664083904087,93.80167912006634,38.392935720223164
2001-10-15,3.9,25,4,0.0,89.27472832761669,60.88293248737212,528.6227458805226,4.726543397400172,94.54371665209332,18.09437997181101
2001-10-16,16.9,20,17,0.25,92.22004714369872,63.064820487372124,532.3687458805226,13.849265763045459,97.3108433223394,38.56479450815966
2001-10-17,2.8,43,22,0.0,89.3506220415238,63.40164944737212,533.5767458805226,11.83553525477873,97.76211794462161,34.866480850104814
2001-10-18,6.7,33,39,0.0,89.39976512580203,64.19349296737212,535.4867458805226,28.072453513339553,98.78224932706611,60.56804867540358
2001-10-19,7.8,35,28,0.0,89.44892443468652,65.07003616737212,537.5947458805225,16.241225676409616,99.90808612496318,43.251192517242714
2001-10-20,2.5,53,8,2.5,65.7718193286784,54.43200602662692,538.7487458805225,0.8131522675034304,86.91145570455478,3.5876520233797016
2001-10-21,0.4,69,3,0.0,70.69924983326152,54.502462826626925,539.5247458805225,0.7443950146364772,87.02651193060072,3.2362640742659177
2001-10-22,3.9,55,5,0.0,76.7783166410627,54.84338282662692,540.9307458805224,1.1023430432112225,87.50665698995974,5.009698222846377
2001-10-23,-0.3,80,10,0.25,77.4617554105941,54.86762602662692,541.5807458805224,1.4926664752280487,87.55877157956381,6.723508172647597
2001-10-24,-0.7,45,21,14.0,42.209865540088295,25.40619425861567,470.14593142477355,0.14973101953662835,44.76478336855089,0.23294512656788816
2001-10-25,-1.0,51,0,1.0,48.26309731894511,25.41361873861567,470.66993142477355,0.1315073615266927,44.78224302135235,0.20464979290434332
2001-10-26,0.4,73,5,0.0,57.72133022084981,25.47498433861567,471.44593142477356,0.4501002139434351,44.886295241546314,0.7015863990572363
2001-10-27,0.4,65,11,0.0,67.51688938087943,25.55453233861567,472.2219314247736,1.005627752039853,45.01855862646964,2.579518326890067
2001-10-28,-3.5,61,24,0.25,74.20154361603446,25.55453233861567,472.42193142477356,2.462698720808854,45.02082989710976,6.835302828493886
2001-10-29,1.8,41,25,1.0,77.13211829177114,25.81378305861567,473.4499314247736,3.0991910857408547,45.434529578127,8.44849668948614
2001-10-30,3.9,37,20,0.0,83.33144149611338,26.29107105861567,474.8559314247736,4.616694744483125,46.1888626521302,11.904576834413293
