FType,HFactor,FFactor,BFactor,EFactor
202,0.0,0.0,3.0,2.958
141,2.451,3.0,2.854,1.455
142,1.054,3.0,0.82,1.81
145,2.25,1.207,3.0,3.0
147,1.021,3.0,0.74,2.885
161,3.0,1.867,2.157,2.294
162,0.994,1.721,2.045,1.066
163,3.0,1.486,3.0,2.268
165,3.0,2.688,0.15,0.272
101,3.0,0.918,3.0,3.0
102,3.0,3.0,1.331,3.0
103,3.0,3.0,0.798,3.0
121,3.0,3.0,2.052,0.174
122,3.0,3.0,3.0,3.0
181,0.098,2.321,1.088,0.914
182,1.096,2.956,0.689,3.0
183,3.0,3.0,1.351,0.494
184,0.577,2.937,3.0,3.0
185,2.733,1.926,3.0,1.029
186,3.0,3.0,3.0,1.047
187,3.0,1.697,1.497,2.13
188,1.087,0.353,3.0,3.0
189,0.55,3.0,2.202,3.0
