Instance,$\delta$ norm,MSE,F1,SSIM,AreaCell2Fire,AreaPrometheus,FTYPE,WS,LENGTH,RES,NCELLS,running_times_sec
400CellsHomC1,4.583,0.052,0.947,0.731,205,188,C1,"variable [10,50]",400CellsHomC1,100,400,0.087
400CellsHomC2,3.873,0.038,0.959,0.852,264,253,C2,"variable [10,50]",400CellsHomC2,100,400,0.108
400CellsHomC3,5.0,0.062,0.937,0.677,201,192,C3,"variable [10,50]",400CellsHomC3,100,400,0.105
400CellsHomC4,3.464,0.03,0.968,0.847,247,253,C4,"variable [10,50]",400CellsHomC4,100,400,0.11
400CellsHomC5,4.472,0.05,0.945,0.81,267,253,C5,"variable [10,50]",400CellsHomC5,100,400,0.094
400CellsHomC6,4.583,0.052,0.947,0.731,175,172,C6,"variable [10,50]",400CellsHomC6,100,400,0.09
400CellsHomC7,4.899,0.06,0.933,0.693,142,132,C7,"variable [10,50]",400CellsHomC7,100,400,0.091
400CellsHomD1,5.0,0.062,0.921,0.757,107,112,D1,"variable [10,50]",400CellsHomD1,100,400,0.084
400CellsHomD2,2.0,0.01,0.95,0.914,22,20,D2,"variable [10,50]",400CellsHomD2,100,400,0.044
400CellsHomM1,4.583,0.052,0.947,0.771,184,201,M1,"variable [10,50]",400CellsHomM1,100,400,0.09
400CellsHomM2,4.359,0.048,0.952,0.79,172,187,M2,"variable [10,50]",400CellsHomM2,100,400,0.034
400CellsHomM3,3.606,0.032,0.955,0.866,298,311,M3,"variable [10,50]",400CellsHomM3,100,400,0.091
400CellsHomM4,4.123,0.042,0.957,0.796,213,216,M4,"variable [10,50]",400CellsHomM4,100,400,0.036
400CellsHomO1a,4.123,0.042,0.949,0.838,112,125,O1a,"variable [10,50]",400CellsHomO1a,100,400,0.087
400CellsHomO1b,4.243,0.045,0.95,0.731,139,135,O1b,"variable [10,50]",400CellsHomO1b,100,400,0.085
400CellsHomS1,2.828,0.02,0.976,0.917,274,282,S1,"variable [10,50]",400CellsHomS1,100,400,0.11
400CellsHomS2,4.243,0.045,0.954,0.715,186,172,S2,"variable [10,50]",400CellsHomS2,100,400,0.111
400CellsHomS3,5.099,0.065,0.935,0.682,203,209,S3,"variable [10,50]",400CellsHomS3,100,400,0.097
