Instance,$\delta$ norm,MSE,F1,SSIM,AreaCell2Fire,AreaFarsite,runtime
sherpa_1H,6.245,0.0,0.858,0.998,68,69,2.091
sherpa_2H,10.344,0.001,0.928,0.995,383,360,2.162
sherpa_3H,16.523,0.002,0.9,0.99,652,717,2.316
sherpa_4H,21.726,0.004,0.91,0.985,1340,1300,2.445
sherpa_5H,25.199,0.006,0.922,0.98,2036,2099,2.582
sherpa_6H,28.018,0.007,0.931,0.976,2867,2994,2.8
sherpa_7H,32.558,0.01,0.929,0.971,3863,3869,3.07
sherpa_8H,38.275,0.013,0.925,0.962,4966,5231,3.293
sherpa_9H,43.784,0.017,0.922,0.953,6262,6871,3.578
sherpa_10H,47.686,0.021,0.928,0.945,8502,8546,3.982
